102-0,102-1,102-2,102-3,102-4,116-1,116-2,116-3,116-4,119-1,119-2,120-0,120-1,120-2,133-0,133-1,133-2,133-3,133-4,148-1,148-1.5,149-1,149-2,161-1,161-1.5,161-2,161-2.5,175-0,175-1,175-1.5,175-2,175-3,175-4,103-1,103-2,103-3,103-4,121-1,121-2,123-1,123-2,123-3,123-4,134-0,134-1,150-1,150-1.5,150-2,150-2.5,150-3,150-4,162-1,162-2,162-2.5,163-0,163-1,163-1.5,176-1,176-1.5,176-2,176-2.5,176-3,176-4,134-1a,134-1b,134-1c,134-1d,134-1e,105-1,105-2,105-3,124-0,124-1,124-2,124-3,124-4,136-1,136-2,138-0,138-1,138-2,138-3,138-4,151-0,151-1,151-2,151-2.5,151-3,151-3.5,151-4,165-1,165-1.5,165-2,165-2.5,165-3,165-3.5,106-1,106-2,106-3,106-4,126-0,126-1,126-2,126-3,126-4,139-0,139-1,139-2,139-3,139-4,140-1,140-2,140-3,140-4,152-1,152-1.5,152-2,152-2.5,152-4,167-1,167-2,167-2.5,167-3,167-4,108-0,108-1,109-0,109-1,109-2,109-3,109-4,127-0,127-1,127-2,127-3,127-4,142-1,142-2,142-3,142-4,143-0,143-1,153-1,153-2,153-2.5,153-3,153-3.5,153-4,168-0,168-1,168-1.5,168-2,168-2.5,168-3,168-4,114-0,114-1,114-2,114-3,114-4,129-1,129-2,129-3,129-4,130-0,130-1,144-0,144-1,144-2,144-3,144-4,155-0,155-1,155-1.5,155-2,155-3,155-4,169-0,169-1,169-1.5,169-2,169-2.5,169-3,169-4,115-0,115-1,115-2,115-3,115-4,115-5,115-6,115-7,115-8,131-1,131-2,131-3,131-4,145-0,145-1,145-1.5,145-2,145-2.5,145-3,145-4,158-1,158-1.5,158-2,170-0,170-1,170-1.5,170-2,170-3,170-3.5,170-4,145-1a,145-1b,145-1c,145-1d,145-1e,132-0,132-1,132-2,132-3,132-4,132-5,132-6,132-7,132-8,146-0,146-1,147-1,147-2,147-2.5,147-3,147-4,160-1,160-1.5,160-2,160-3,160-3.5,160-4,171-1,171-2,171-3,171-4,174-1,174-2,174-2.5,174-3,174-4
"122,646,192","2,468,425","1,569,828","3,036,185","5,431,717",,,,,,,"4,387,844","3,454,119","3,038,955","111,447","212,975",,,,"491,425","14,338","2,353,917","10,891,593","79,579,424","83,549,200","2,532,474","507,093","319,590",,,,,,"23,118,772","1,055,243","5,705,587","16,586,769","7,518,783","124,972,176",,,,,,"2,702,969","286,930,560","294,598,656","57,812,104","56,615,320","1,042,423","7,402,247","2,251,757","3,081,880","769,526","1,743,616","351,634","3,844,464",,"32,232",,,"253,801",,"2,776,314","2,772,040","2,810,799","2,357,878","2,380,551","21,709,716","954,053","124,345,792","17,445,656","11,977,318","7,487,983","1,162,700","1,674,068",,"167,990","343,924",,,,,,"124,739",,"268,013","127,678","97,211","34,089","46,709,500","137,536,288","7,662,833","5,436,475","4,954,440","6,810,427","544,218","175,416","484,152","1,381,461","18,077,884","29,906,686","18,192,498","64,255,512","1,481,019","930,349","1,181,740","701,821",,"275,756","2,396,801","1,780,033","4,600,964","170,355","6,255,503","6,342,729","2,534,860","464,167",,"82,239,192","15,036,348","4,010,030","3,854,583",,"366,547",,"254,726,480","42,052,296","228,834","596,649","1,454,867","4,481,227","597,995,584","6,313,251","4,521,518","765,386","1,458,182","2,517,509","2,218,597","531,688","9,563,352","147,745,616","1,168,805","6,559,378","2,407,193","5,958,293","595,014","2,453,058",,"270,385","262,362","205,182","304,519","212,542",,"26,438,934",,,,,"92,877,312","1,396,104","344,144","631,524","20,306,814","972,348,352",,"94,326",,,"608,135","11,172,156","183,953,984","29,342,004","2,634,446",,,"563,365","558,460,032","774,337,600","1,470,102","3,273,946","2,677,455","1,421,681","198,697","33,471,634","21,760,586",,"2,468,953","1,184,142","809,736","1,018,095","588,658",,,,,"720,388","5,502,713","2,772,040","2,371,487",,"1,230,581","4,189,176","1,514,584","873,053",,"184,733,600","13,749,180","3,232,250","1,986,136","6,043,874","8,371,338","44,867,272","6,668,762","6,505,080","5,056,404","5,878,470","5,257,470","2,791,618","107,946,320","70,456,560","183,665","112,295","128,994","60,015","2,894,666","476,920","4,404,029","1,066,562","1,244,202","2,069,467","1,499,651","2,601,426","743,942","49,643,300","18,947,634","17,359,642","6,394,161","7,660,311","5,332,938","595,864,896","4,519,684","61,367,856","9,913,894","3,714,503","1,646,053","19,047,628","8,259,609","608,439"
"56,214,252","2,018,795","593,579","2,177,044","887,376",,,,,"335,944","214,512",,"1,067,148",,"1,717,870","2,144,516","166,741","91,213",,"245,516","333,302","53,603,520","27,104,622","29,082,542","23,596,404","3,305,089","1,201,006","557,464","41,346",,,,,"57,894,288","8,257,129","11,500,096","28,273,800","6,645,944","33,775,116",,,,,,"1,135,622","36,347,048","47,572,472","30,679,758","14,027,393","217,751","412,489","164,059","33,702",,"1,148,515","31,528","13,152,666",,,,"249,148",,,"716,475","1,122,522","1,454,249","1,244,434","1,336,234","166,319,728","40,591,924","101,219,512","361,585,120","80,623,968","41,595,308","5,025,288","25,299,012",,,"2,215,322","89,708","75,955","57,671","38,503","34,246",,,,"63,133","42,621","58,814","28,852,880","45,444,412",,,"794,151","139,993","15,144,215","302,579","10,388,753","21,959,762","429,469","1,935,194","809,912","2,501,888","58,596","1,293,887","1,689,243","3,749,104","1,496,187","9,958,001","3,480,047",,"83,419",,"53,362,832","37,038,536","3,888,829","1,407,682",,"28,235,016","36,543,420","35,242,032","7,658,035","704,337",,,"7,524,722","6,867,281",,"32,198","24,953","5,480,681","25,462,832","2,191,286","23,779,210","1,413,334","13,766",,"98,454","22,555","8,482,754","16,279,810","143,091","2,832,708","4,741,983","468,975","308,131","1,773,677","32,687","341,005","27,299","75,711","43,655","38,981",,"1,007,076",,,,,"12,998,288","540,020","64,342",,"885,843","9,972,934","43,906",,,,"15,405","1,925,863","15,603,466","21,007,044","138,492","28,559","67,972","6,954,901","34,253,036","33,145,414",,,"60,239","219,687","723,807","2,170,147","1,617,586","143,258","119,932","823,571","268,944","1,826,532","21,671",,,,,"74,219","7,314,462","8,644,327","18,276,722","63,665","189,366","444,873","5,166,321","2,100,608",,"10,287,285","26,624,444","21,234,014","8,308,237","4,895,719","462,066","5,628,870","10,360,886","13,515,957","10,489,688","11,289,104","11,269,562","124,563","305,737","168,609",,,"32,065",,"54,965","45,388","9,845,869","31,352","3,484,153","9,080,682","14,197,695","9,921,956","37,732,032","9,539,002","12,600,084","333,452","173,762","211,279","11,882,919","7,069,029","420,904","4,451,166","139,506","5,585,000","16,333,421","12,107,649","13,801,633","4,833,807"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"280,765",,,,,"46,566",,,"11,484,434","12,360,218","511,315",,,,,,,,,,"908,552","11,372,742","5,023,373","18,883,518",,,,"708,506","597,801","1,756,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,574,227",,"54,555,284","42,608,164","19,549,886","15,121,847","127,731",,"838,530","706,890","2,560,728",,,"1,850,294","581,449","715,722",,,,,,,,,"1,031,841",,,"20,996,432",,"3,566,686","2,473,393","3,226,515",,,,"1,638,980","272,552",,,"724,565","364,123",,,,,,,"933,469","1,568,761",,,,,,,,,,,,,,"329,016","297,119","1,272,465",,,,,,,"246,471","526,180",,,,,,,,,,,,,,,,"1,756,669","6,537,798","8,746,448","4,526,512","6,504,659","1,124,231",,,,,,,,,,,,,,,,,,,,,,,,,,,"13,893,245",,,,,,,,"1,845,698",,"4,186,131",,,"2,970,713","1,627,238",,,,,"2,042,530","1,234,687",,,,,,"3,279,144","1,562,704","8,275,792","4,601,869","977,733"
,,,,,,,,,,,,,,,"11,005",,,,,,"197,376",,,,,,,,,,,,,,"140,704","1,296,880",,"668,678",,,,,,,,,,"219,063","1,789,527","2,621,502","22,468",,,"426,865","34,252","568,908",,,,,,,,,,,,"567,587","69,230","667,069","5,750,993","1,260,046","310,145",,,,,"8,345",,,,,,,,,,,,"443,092","558,176",,,,,,,,,,"112,374","65,377","13,218","9,474","17,409",,,"98,993","256,828",,,,,"1,093,251","845,095","24,329",,,,,,,"9,589",,,"36,433,224",,,"4,804,371","124,954","568,929","831,484",,"8,027,047",,,,"77,028",,"217,871","226,541","49,670",,,"237,277","218,357","387,877",,,,,,,,,,,,,"234,369",,,,,"186,747",,,,,,"371,975","898,778","1,211,821",,,"177,383",,,,,,,,"129,335",,,,"182,582",,"51,086","273,456",,,,,,,,,,,,"59,968",,,,,,,,,,,,,,,,"49,513",,,,,,,,,"20,101,956","492,612",,,,"336,075","1,280,134",,,,,,"355,080",,,,,,,"123,441","238,614",
"1,225,990",,,,,,,,,,,,"30,601",,,,,,,,,"101,585",,"1,557,861","1,380,081","193,499",,,,,,,,"503,479","24,641","112,026","508,236","209,966","2,127,625",,,,,,"29,548","3,836,123","3,538,804","1,537,182","948,829","80,302","234,895","24,281","53,687",,,,"101,557",,,,,,,"90,611","64,211",,"118,468",,"1,418,113","45,931","3,281,307","3,072,348","1,414,908","2,042,643","90,663","168,394",,,,,,,,,,,,,,,"2,177,041","4,872,747","71,290","116,216","55,575","139,315",,,,,,,,"73,232",,,,,,,,,,,,"83,799",,,,"1,747,383","1,044,290","367,080","169,492",,,,"3,637,908","1,352,627",,,,"55,259","4,082,372",,"291,453",,,"173,358",,,,"544,715",,,,,,,,,,,,,,,,,,,"1,637,374",,,,,,,,,,,,"931,000","312,867",,,,,"1,767,479","4,730,191",,,,,,"71,116","241,298",,"53,705","71,713",,,,,,,,,,"46,170","73,491",,,,,,,"18,449,686","146,368","192,190","194,808","198,773","106,935","733,855",,,,,,,"64,506","18,432",,,,,,,"52,510",,,"301,837","214,329",,"153,082","159,443","35,966",,,,"98,880","1,061,810",,"351,135",,"74,496",,"101,881",,
"67,569","2,015,100","206,464","586,250","1,682,630",,,,,,,"144,050","39,572",,,,,,,,,,"423,348",,,"704,304",,,,,,,,"764,202","267,166",,,,,,,,,,"128,944","31,258","30,313","640,546",,"52,711",,,,,,,,,,,,,,"93,861","109,166","130,478","93,790","101,840",,,,,"188,354","159,065","245,327",,,,,,,,,,,,,,,,,"240,933","147,128",,,,"182,395",,"149,291",,,,,,,,"372,692",,,,"51,965",,,,"66,495",,"190,779",,,"112,643","55,510",,"349,767","625,581",,,"205,696","285,834","277,677",,"88,723",,,,"490,458",,,"63,281",,,"67,833","3,270,370",,"253,684","155,834",,,,,,,,,,,,,,,,,"30,531",,,,"3,508,820",,,,,,,"35,065","276,665",,,,,"60,000","453,840","83,420","78,178","51,996",,,"4,572,477","1,015,523","74,818","184,151","368,391","197,735","185,325",,,,,,,,,"234,122",,,,,,,"277,645",,"152,522","32,134","119,611",,"119,397","20,577",,,,,,,"1,162,903",,,,,,,,,,"160,643",,,,"40,803","401,492","72,265","250,127","107,042","142,915","22,626","105,637","30,153",,"301,449","114,769",,"370,771","46,376"
"181,167",,,,,,,,,,,,,,,"22,802",,,,"52,073",,,,,,,,,,,,,,"28,483",,"335,605","734,558",,"15,789",,"51,838",,,,,,"22,922",,"287,085","1,515,130","1,194,299",,,,"34,397","343,483","210,388",,,,,,,,,,,,,,"22,167","83,377",,,,,,,,,,,,,,,,,,,,"51,653",,,,,,,"213,371","2,032,888",,"1,053,922","811,228","143,276","357,407",,,,"222,209","325,684",,,"259,621","200,277",,,,,,"39,986","15,959",,,"3,253,683",,,,,"1,096,514","1,763,024","276,897","139,631","68,183",,"1,648,166","60,924",,,,,,"185,391",,,,"70,982","95,438","121,689",,,,,,,,,,,,,,"83,491","207,528","359,088",,,,,,,,,"177,671",,,,,,"205,028","127,077",,,,,,,,"993,576","1,981,348","1,434,304","1,213,336","2,079,937","979,198",,,,,,,,,,,,,,,,,,,,,"114,601",,,,,,"5,793,593","97,840",,,,"51,770",,,"505,672",,"863,201",,,"925,367","550,992","173,531",,,,"118,523",,"83,423","187,197",,,,"2,123,577","254,200","910,737","213,248","191,909"
"4,521,517","109,928","136,879","138,249","140,381",,,,,,,,,,"56,908","377,998","183,844","23,520",,"175,564","149,958","3,916,303","872,058","1,087,163","907,177","247,198","30,502","23,749",,,"45,719",,,"3,368,028","73,300","1,982,348","10,151,796","346,147","2,695,576",,"57,162",,,,,"2,078,451","2,621,641","1,494,999","2,068,570","4,684,722","2,316,958","29,780","59,484",,"757,178","97,669","7,408,791",,,,,,,,,,,,"5,835,909","1,479,431","5,828,465","17,953,842","3,270,392","3,998,268","612,179","4,294,844",,,"287,169","33,462",,"23,726",,,,,,"49,907",,,"5,480,514","8,162,037","36,295",,"247,814","61,361","563,213",,"31,013","38,871",,"1,169,216","524,045","207,348",,"47,328","282,276","185,314","940,865","1,198,300",,,"47,569",,"2,498,644","2,087,803","325,066",,,"1,333,971","2,087,350","2,172,775","582,903","419,378",,,"1,682,316","735,835","48,461","1,744,181",,"522,522","2,629,035","168,704","50,704,924",,,,,,"677,579","1,473,452","105,839","369,663","67,097","86,780","212,995","721,162",,"97,484",,"92,478",,"28,276",,"98,116",,,,,"1,421,555",,,,"88,084","2,244,028",,,,,"33,378","35,293","2,013,205","1,813,015",,,"30,690","840,587","3,522,423","3,496,022",,,"17,064","28,721","55,617","1,138,360","64,531",,"67,276","26,768",,"586,386",,,,,,,"563,321","705,638","1,004,506",,,"120,966","395,911","224,814",,"460,934","1,520,984","1,209,178","523,937","115,942",,"385,287","763,141","954,863","804,232","851,511","807,058","112,823",,,,,,,,,"2,944,356","110,512","113,672","448,484","616,766","2,269,578","5,186,840","756,224","733,083",,,,"1,011,230","1,520,319",,"438,745",,"333,636","572,451","443,647","1,001,613","182,531"
"2,655,183","826,976","77,479","149,535","286,898",,,,,,,"65,099",,,,,,,,,,"108,839","419,842","13,988,134","20,023,382","4,767,944","443,834","98,113",,,,,,"13,277,791","424,127","728,289","2,193,338","93,369","17,125,770",,,,,,"55,110","591,101","466,424","5,723,127","4,872,445","294,787","513,116","217,982","2,050,932","114,085",,"55,486","246,871",,,,,,,"21,934","43,109","48,639","57,763","57,989","692,428","53,982","6,395,753","1,559,138","617,954","12,544,036","2,081,339","2,826,196",,"56,481",,"31,564","33,435",,"26,517",,,,,,,,"780,651","1,084,061","293,373","281,256","86,332","92,356","209,154",,"321,053","576,899","53,409","1,241,221","2,855,712","4,413,161","328,764",,"2,715,845","179,747",,"82,929","144,705","414,086","254,522",,"237,613","209,194","190,450","127,576","30,387","439,008","307,860","129,843","17,977,484","238,124","22,941",,"666,800","29,262,358","467,191","424,845","117,709","294,272","776,464",,"6,915,175","33,409","155,341","325,947","623,308","78,193","2,921,488","819,593","95,801","618,910","274,324","777,162","127,470","289,423",,,,,,,,,,,,,"281,252","174,389",,,"745,350","34,720,012",,,,,"25,976","23,964","1,808,415","310,905","17,997",,,"140,050","770,476","1,767,433","451,409","617,476","566,444","328,577",,"16,059","4,069,117","103,159","401,291","687,791","215,130","603,391","158,706",,,"45,426","85,811",,"60,758","218,733","795,734",,"23,594","56,069",,,,"387,463",,"163,820","193,953","294,080","551,450","1,941,574","74,642","74,898","60,888","58,192","83,561","29,106",,"1,923,911",,,,,"196,005","43,913","2,063,274","157,242","29,319","185,728","214,298","133,173","65,211","1,145,496","697,974","350,022","251,209","298,417","1,478,668","594,410","50,620","490,268",,"4,155,536","312,700","2,525,933","2,750,354","127,767"
"226,152",,"323,625","111,228","78,074",,,,,,,,,,,,,,,,,"380,694","1,118,784","1,936,686","1,834,941","5,612,060","870,776",,,,,,,"644,754",,"66,491","622,908",,"4,299,361",,,,,,,"103,334","55,572","907,533","583,174","232,718","194,114","484,391","727,377","119,272",,,"96,410",,,,,,,,,,,,"807,900","313,737","2,894,213","2,551,390","728,617","10,046,545","6,380,709","9,581,555",,,,,,,,,,,,,,,"387,420","490,413","232,292","127,825",,,"753,779",,,,,,"57,570","33,780",,,"549,201","48,339",,,,,,,"1,636,758","1,616,313","660,445","46,117",,,,,"5,887,390","1,180,850",,,"2,150,525","110,561,864","12,332,410","9,352,093",,"805,723","270,788","280,515","8,016,012",,,"67,098",,,"801,292","782,503","582,659","544,212","47,399","109,683","98,060",,,,,,,,,,,,,,"305,222",,,,"919,819","16,953,410",,,,,,,"511,782","612,509",,,,"1,683,020","200,569","565,844","456,776","574,309","593,724",,,"848,941","5,782,030",,"700,935",,,"583,689",,,,,,,"442,065","805,669","305,295",,,,,,,"1,405,392","358,892","279,438","491,130","483,091",,"377,503","616,663","722,196","672,286","637,486","614,678",,,,,,,,,,"23,186,108","2,611,214","73,121","1,642,933","1,729,162","111,711","730,040","211,560","258,162",,,,"476,786",,,"178,720",,"84,186",,,"279,320",
,,,,,,,,,,,,,,,,,,,,,"38,500",,,,,,,,,,,,,,"178,275","1,509,961",,"89,643",,,,,,,,"40,800",,"317,878","6,663,435","4,759,209",,,,"308,891","177,154","166,042",,,,,,,,,,,,"251,764",,"119,855","1,055,961","236,365","98,709",,,,,,,,,,,,,,,,,"59,080","63,132","50,679",,,,,,"1,052,285","2,050,325",,"2,612,459","2,228,657","337,320","289,991",,,"88,091","933,907","777,548",,,"42,123",,"144,533","99,280",,,,,,,,"44,656",,,"291,871","50,000","41,444","1,056,959","443,008","94,866",,,"608,889","301,587",,,,,,,,,,"198,968","96,915","297,195",,,,,,,,,,,,,,,,,,"34,878",,,,,,"59,361",,"38,175",,,"39,716",,"73,461","162,420",,,,,,,,"78,392","872,879","1,236,538","993,072","1,432,952","213,627",,,,,,,,,,,,,,,"138,171",,,,,,,,,,,,"27,070",,,,,,,,,"497,091","284,413",,,,"91,296","239,904",,,,,,"207,320",,,,,"44,755","414,840","385,538","392,937","67,183"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,980,992","36,870,744","40,230,228","24,250,954","53,176,024","45,676,680","46,150,236",,,,,,,,,,,"40,038,100","40,939,184","40,520,160","44,374,020","41,935,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,985,077","1,450,766","1,573,319","384,297","590,318","510,805","749,331","352,127","1,433,253","946,446","806,021","2,376,027","3,152,327","1,674,787","1,359,602",,"368,881",,,"450,157","1,747,279","2,312,191","4,322,232","585,297","568,530",,"313,291","433,716","258,406","286,021",,"210,825",,"1,118,006","283,059","403,346","636,312","462,817","212,229","723,574",,"220,158","214,382","817,903","840,128","715,591","1,429,954",,"1,147,300",,"364,463","704,820","879,135","2,565,433","1,557,719","220,248","2,490,780","838,565","1,300,583","414,598",,"138,888","299,416","708,276","1,009,778","710,137","528,172","631,342","580,937","696,621","135,648","3,201,534","80,917","179,231","107,916","1,478,383","434,799","411,235","286,191",,"361,470",,,"1,912,514",,"1,644,710","1,450,166","1,235,093","1,073,692","1,009,113","198,320","558,086","403,613","176,161","364,028","930,672","419,738",,"711,600","385,848","577,105","320,793",,"621,274","241,416","2,636,417","445,686","779,003","371,970","614,833","406,794","5,335,678","472,414","352,939","336,266","490,811","662,821",,"277,851","293,001","205,088","454,323","219,507","197,447","3,144,488","339,982","264,468","243,927","462,634","401,509","1,501,457","2,412,305","148,810","143,577","357,980","220,779","522,657","490,112","1,263,125","822,895","1,710,165","971,033","1,225,224","380,030","382,277",,"180,812","352,579","665,250","599,806","559,218","1,106,267","699,042","665,784","572,203","894,978","334,391","390,947","418,655",,"491,403","114,780","87,751",,"43,495,020","386,706","7,125,100","879,163",,"575,222","576,234","4,604,279","918,288","1,359,386","914,467","349,691",,"577,977","716,159","439,124",,"462,815","455,654","3,612,661","8,993,236","106,765","202,086",,,,,,,"422,220",,"234,901","213,243","1,776,977","511,935","723,149","405,683","270,909","106,327","369,095","140,532","137,677","853,719","3,285,178","341,315","330,056","193,227",,"595,528","334,964","708,588","816,424","811,885","627,566","676,955","738,245","2,764,095","4,350,318","1,202,917","1,527,966","722,118","1,089,580","1,167,642","1,144,105","1,252,678","153,803","467,385","395,956","306,767","643,055","388,384",,"119,004","1,193,853","2,090,752","842,393","729,694","8,202,864","1,086,598","1,548,765","853,492",,"411,848",,"130,336",
,"40,898","136,710","36,702","90,216","39,624","122,643","53,923","53,086","114,563","75,692","110,515",,"51,657","446,366","220,516","191,540","281,386","126,127","552,936","120,288","26,528","76,646",,"13,441","81,411","90,440","135,604",,"45,776","40,953","49,319","68,544","97,997","144,725","90,710","129,315","136,223","34,576","141,826","96,039","46,572","143,159","144,658","119,487","118,453","180,122","81,315","113,618","79,707","98,985","162,032","59,915","55,465","249,262","74,926","131,669","115,679","149,736","104,201","157,607","133,649",,"140,031","161,277","142,940","126,801","146,432","81,547","86,378","52,294","294,985","19,391","47,922","79,673","86,949","22,804","97,170","2,003,330","315,613","123,462","89,858","181,616","247,912","60,108","41,831","65,692","63,945","79,578","65,067",,"64,166","77,508","85,878","94,938","77,143","125,165","83,469","145,149","319,089","41,663","35,185","69,860",,"36,250","174,618","105,283","168,272","101,253","122,662","76,937","146,979","85,856","88,458",,,"66,687","91,516","219,343","26,171",,,"74,199","70,344","1,082,124","79,174","52,454","52,435","93,392",,"143,224","581,465","82,197","104,198","121,928",,"81,664","142,970","96,880","71,640","107,675","43,501","163,225","78,632","118,136","94,297","79,617","63,392","138,272","99,688","55,117","94,119","62,994","89,424","90,069","96,358","74,283","93,540","153,835","50,247",,"73,255",,,"104,593","79,069","90,212","62,144","97,727","86,785","61,999","1,703,227","217,084","178,274","178,686","307,789","927,953","616,601","33,019","91,220","116,814","83,965","36,289","121,033","900,024",,"81,328","74,647","84,751","59,494","74,742","133,282","91,812",,"87,066","76,591","95,888","108,462",,"85,567","56,074","176,848","74,659","67,653","123,270","179,486","57,735","362,427","25,731","39,965","48,409","76,397","101,664","52,832","58,152","76,142","31,932","78,120","58,214","114,313","83,966","87,694","95,348","56,420","106,770","103,236","63,443","101,370","332,389","204,906","118,189","76,850","99,966","144,274","116,922","52,571",,"117,887","102,961",,"95,285","28,475","67,573","51,621","100,423","119,326","91,910","133,936","112,576","85,324"
,,,"147,435",,,,,,,"99,919",,,,,,,,,,,,,,,"1,925,826",,,,,,,,,,,,,,,,,,,,,,,,,,"284,951",,,,"375,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127,993","206,533",,,,,,,,,,,,,,,"75,242",,,,"189,449",,,,,"532,970",,,,,,,,,,,,,,,,,"108,176","1,178,524","30,936,242",,,,,,,,,,,"1,422,523",,,,,,,,,,,,,,,,,,,,,,,,,,"39,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,610,507","125,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270,916",,"59,024","100,005",,,,,
"252,860",,,,,,,,,,,,,,,,,,,,,"224,368",,,,,,,"254,958","176,366",,,,,,,,,"106,592",,,,,,,"69,434","158,313",,,,,,,,,,"1,101,961",,,,,,,,,,,,"96,495","96,113","144,182","301,572","81,005","47,719",,,"418,272",,,,,,,,,,,,,,,"71,509",,,,,,,,,,,,,,,,,,,,,,,"122,592","71,729",,,,,,"174,779",,,,,"55,183",,,,,,"144,182",,,,,,,,,,,,,,,,,,,,,,,"9,076,795",,,,,,,,,,"106,413",,"98,499",,,,,,,,,,,"282,152","318,765",,,,,,"41,613",,,,,,,,,,,,,,,,,,,,,,,"303,043","142,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400,129",,,,,,,,
"638,352","75,753","767,818","197,589","210,779","84,385","21,363",,"74,845","1,092,769","1,748,187","112,142",,,"277,210","121,101",,,"262,696",,,"677,138","822,660","338,133","268,297","206,909","189,587","48,396",,"29,817",,,,"302,486","214,398","213,497","268,388","887,464","631,334","254,305","817,803",,,"76,433","135,056","774,800","819,586","1,019,482","884,867","1,178,409","1,280,103","479,594","343,786","161,151","135,549","87,781","144,356","1,960,444","1,869,120","1,570,879","1,125,149","2,436,379","778,085","109,260","144,530","138,808","122,758","134,699","650,652","365,140","1,173,502","568,092","196,301","436,151","386,796","183,971","109,657","148,171","3,059,860","241,503","235,970","251,856","197,263","326,775","168,907","43,727","281,002","431,010","182,150","253,656","399,670","757,377","792,111","701,088","989,871","1,667,321","706,700","76,923","41,455",,"70,425","55,283","106,938","204,296","164,449","94,914",,"84,031","185,702","163,111",,"115,609",,,"525,301","577,575","629,729","503,334",,"235,283","355,857","427,085","819,294","661,328","1,275,645","527,432","915,844","945,581","1,511,656","1,498,724",,"174,326","235,330","278,921","607,399","192,724","236,304","407,905","282,870","304,603","113,926","210,486","221,157","282,171","237,465","162,551","196,974","144,955","868,429","420,182","293,591","451,559","162,269","59,067",,"1,979,865","376,384","327,855","293,004","278,338","99,451",,,,"58,341","601,613","1,102,934","570,343","863,265","270,259","733,483","481,635","196,040","250,039","166,148","112,390","1,008,940","491,350","257,638","364,684","283,852","289,685","240,167","122,216",,"432,392","159,456","114,121","141,328","308,500","48,521","105,175",,"102,201","164,133","266,335","261,837","276,569","284,403","316,424","255,119","29,011","41,200","52,672","490,795","763,250",,"865,517","177,914","126,781","104,187","187,460","131,070","109,748","347,173","341,968","366,438","382,211","358,086",,"67,769",,"93,493","122,597","83,619","35,903","108,549",,"477,342","235,966","425,501","323,427","518,069","390,126","456,552","77,001","89,392","62,059",,,"169,864","177,001","146,100","252,882",,"252,237","621,589","419,422","334,690","320,975"
"2,286,786","451,684",,,,"766,019",,,,,,,"167,332","78,515",,,,,,,,"968,801",,,,,,"325,476","1,723,799","1,337,899",,,,,,,,,"1,107,861","421,108",,,,,,"2,966,192","3,698,526",,,,,,,,,,"4,673,055","2,233,951","285,528",,,,,,,,,,"1,409,602","513,112","819,242","8,928,589","1,623,952","3,676,738",,,"1,745,961",,,,,,,,,,,,,,"98,616","281,717",,,,,,,,,"18,691","49,420",,,,,,,,,"639,145",,,,"2,756,378","2,862,542","240,175",,,"2,252,193","2,005,119","2,782,515",,,"175,691","518,046","1,498,993",,,,,"295,390","3,480,188",,"69,655",,,,,,,"76,846",,,,,,,,,,,,,,"93,741,920","259,651",,,,"1,462,840",,,,,"1,018,334",,"2,689,391",,,,,"609,686","352,413",,,,,"6,581,775","6,258,027",,,,,"935,785","1,217,208",,,,,,,,"1,222,880",,,,,"1,670,103","1,344,037",,,,,"111,285",,,,"9,631,266","3,476,613","75,798",,,,"1,827,806","1,876,535","1,866,310","2,049,371","1,852,628",,"4,829,678",,,,,,"108,552",,"348,029",,,,,,,"1,101,332","389,213","140,629",,,"301,850","13,635,640",,"3,177,944",,,,,,
